Growth_phase,Strain,Length_px,Length
earlylog,cdrL,201.15913,26.82121733
earlylog,cdrL,73.593475,9.812463333
earlylog,cdrL,107.647575,14.35301
earlylog,cdrL,13.601471,1.813529467
earlylog,cdrL,28.301943,3.7735924
earlylog,cdrL,139.05394,18.54052533
earlylog,cdrL,27.89265,3.71902
earlylog,cdrL,46.52956,6.203941333
earlylog,cdrL,66.287254,8.838300533
earlylog,cdrL,85.58621,11.41149467
earlylog,cdrL,48.507732,6.4676976
earlylog,cdrL,18.027756,2.4037008
earlylog,cdrL,15.811388,2.108185067
earlylog,cdrL,104.80935,13.97458
earlylog,cdrL,95.036835,12.671578
earlylog,cdrL,160.52414,21.40321867
earlylog,cdrL,36.878178,4.9170904
earlylog,cdrL,136.88316,18.251088
earlylog,cdrL,63.788715,8.505162
earlylog,cdrL,40.60788,5.414384
earlylog,cdrL,54.378304,7.250440533
earlylog,cdrL,67.54258,9.005677333
earlylog,cdrL,225.88715,30.11828667
earlylog,cdrL,112.969025,15.06253667
earlylog,cdrL,64.288414,8.571788533
earlylog,cdrL,58.60034,7.813378667
earlylog,cdrL,64.03124,8.537498667
earlylog,cdrL,266.85202,35.58026933
earlylog,cdrL,36.687874,4.891716533
earlylog,cdrL,32.38827,4.318436
earlylog,cdrL,32.38827,4.318436
earlylog,cdrL,28.635643,3.818085733
earlylog,cdrL,54.147945,7.219726
earlylog,cdrL,96.50906,12.86787467
earlylog,cdrL,89.84431,11.97924133
earlylog,cdrL,49.09175,6.545566667
earlylog,cdrL,133.75351,17.83380133
earlylog,cdrL,43.737854,5.831713867
earlylog,cdrL,15.811388,2.108185067
earlylog,cdrL,116.965805,15.59544067
earlylog,cdrL,312.37317,41.649756
earlylog,cdrL,18.867962,2.515728267
earlylog,cdrL,191.2067,25.49422667
earlylog,cdrL,186.38937,24.851916
earlylog,cdrL,85.58621,11.41149467
earlylog,cdrL,191.5881,25.54508
earlylog,cdrL,69.02898,9.203864
earlylog,cdrL,24.698177,3.293090267
earlylog,cdrL,67.26812,8.969082667
earlylog,cdrL,30.805843,4.107445733
earlylog,cdrL,37.01351,4.935134667
earlylog,cdrL,56.32051,7.509401333
earlylog,cdrL,27.45906,3.661208
earlylog,cdrL,23.409399,3.1212532
earlylog,cdrL,48.6621,6.48828
earlylog,cdrL,44.38468,5.917957333
earlylog,cdrL,44.38468,5.917957333
earlylog,cdrL,33.600594,4.4800792
earlylog,cdrL,38.078865,5.077182
earlylog,cdrL,39.051247,5.206832933
earlylog,cdrL,30.413813,4.055175067
earlylog,cdrL,166.93112,22.25748267
earlylog,cdrL,77.820305,10.37604067
earlylog,cdrL,21.260292,2.8347056
earlylog,cdrL,13.928389,1.857118533
earlylog,cdrL,13.928389,1.857118533
earlylog,cdrL,48.373547,6.449806267
earlylog,cdrL,34.539833,4.605311067
earlylog,cdrL,232.74449,31.03259867
earlylog,cdrL,20.615528,2.748737067
earlylog,cdrL,56.859474,7.5812632
earlylog,cdrL,35.468296,4.729106133
earlylog,cdrL,83.761566,11.1682088
earlylog,cdrL,25.70992,3.427989333
earlylog,cdrL,40.81666,5.442221333
earlylog,cdrL,52.40229,6.986972
earlylog,cdrL,63.780876,8.5041168
earlylog,cdrL,38.327538,5.1103384
earlylog,cdrL,51,6.8
earlylog,cdrL,67.72001,9.029334667
earlylog,cdrL,59.548298,7.939773067
earlylog,cdrL,51.0392,6.805226667
earlylog,cdrL,70.178345,9.357112667
earlylog,cdrL,19.416489,2.5888652
earlylog,cdrL,61.204575,8.16061
earlylog,cdrL,22.803509,3.040467867
earlylog,cdrL,46.8615,6.2482
earlylog,cdrL,92.96236,12.39498133
earlylog,cdrL,37.363083,4.9817444
earlylog,cdrL,68.44706,9.126274667
earlylog,cdrL,70.71068,9.428090667
earlylog,cdrL,143.19916,19.09322133
earlylog,cdrL,52.17279,6.956372
earlylog,cdrL,53.450912,7.126788267
earlylog,cdrL,69.656296,9.287506133
earlylog,cdrL,21.633308,2.884441067
earlylog,cdrL,181.91481,24.255308
earlylog,cdrL,60.299255,8.039900667
earlylog,cdrL,20.880613,2.784081733
earlylog,cdrL,27.45906,3.661208
earlylog,cdrL,50.01,6.668
earlylog,cdrL,31.890438,4.2520584
earlylog,cdrL,59.05929,7.874572
earlylog,cdrL,38.078865,5.077182
earlylog,cdrL,15.811388,2.108185067
earlylog,cdrL,80.04999,10.673332
earlylog,cdrL,274.25717,36.56762267
earlylog,cdrL,48.6621,6.48828
earlylog,cdrL,74.330345,9.910712667
earlylog,cdrL,32.55764,4.341018667
earlylog,cdrL,88.02273,11.736364
earlylog,cdrL,19.697716,2.626362133
earlylog,cdrL,22.203604,2.960480533
earlylog,cdrL,37.01351,4.935134667
earlylog,cdrL,34.20526,4.560701333
earlylog,cdrL,25.806976,3.440930133
earlylog,cdrL,93.00538,12.40071733
earlylog,cdrL,144.51643,19.26885733
earlylog,cdrL,142.41489,18.988652
earlylog,cdrL,119.23926,15.898568
earlylog,cdrL,56.35601,7.514134667
earlylog,cdrL,21.587032,2.878270933
earlylog,cdrL,46.09772,6.146362667
earlylog,cdrL,20.59126,2.745501333
earlylog,cdrL,162.5423,21.67230667
earlylog,cdrL,81.46779,10.862372
earlylog,cdrL,33.06055,4.408073333
earlylog,cdrL,18.601076,2.480143467
earlylog,cdrL,81.154175,10.82055667
earlylog,cdrL,22.803509,3.040467867
earlylog,cdrL,126.178444,16.82379253
earlylog,cdrL,59.682495,7.957666
earlylog,cdrL,97.90812,13.054416
earlylog,cdrL,16.124516,2.149935467
earlylog,cdrL,29.427877,3.923716933
earlylog,cdrL,23.43075,3.1241
earlylog,cdrL,27.89265,3.71902
earlylog,cdrL,41.976185,5.596824667
earlylog,cdrL,154.50566,20.60075467
earlylog,cdrL,29.529646,3.937286133
earlylog,cdrL,31.400637,4.1867516
earlylog,cdrL,135.14807,18.01974267
earlylog,cdrL,114.47707,15.26360933
earlylog,cdrL,28.071337,3.742844933
earlylog,cdrL,23.409399,3.1212532
earlylog,cdrL,26.400757,3.520100933
earlylog,cdrL,68.942,9.192266667
earlylog,cdrL,32.75668,4.367557333
earlylog,cdrL,273.24713,36.43295067
earlylog,cdrL,89.89438,11.98591733
earlylog,cdrL,25.23886,3.365181333
earlylog,cdrL,46.52956,6.203941333
earlylog,cdrL,39.45884,5.261178667
earlylog,cdrL,36.67424,4.889898667
earlylog,cdrL,34.0147,4.535293333
earlylog,cdrL,26.24881,3.499841333
earlylog,cdrL,24.698177,3.293090267
earlylog,cdrL,24.207438,3.2276584
earlylog,cdrL,24.04163,3.205550667
earlylog,cdrL,18.867962,2.515728267
earlylog,cdrL,63.245552,8.432740267
earlylog,cdrL,42.43819,5.658425333
earlylog,cdrL,86.55634,11.54084533
earlylog,cdrL,57.14018,7.618690667
earlylog,cdrL,21.213203,2.828427067
earlylog,cdrL,26.41969,3.522625333
earlylog,cdrL,80.919716,10.78929547
earlylog,cdrL,27.166155,3.622154
earlylog,cdrL,243.60008,32.48001067
earlylog,cdrL,142.33763,18.97835067
earlylog,cdrL,34.785053,4.638007067
earlylog,cdrL,38.118237,5.0824316
earlylog,cdrL,164.00305,21.86707333
earlylog,cdrL,38.948685,5.193158
earlylog,cdrL,34.132095,4.550946
earlylog,cdrL,21.633308,2.884441067
earlylog,cdrL,29.832869,3.977715867
earlylog,cdrL,29.427877,3.923716933
earlylog,cdrL,163.78339,21.83778533
earlylog,cdrL,28.284271,3.771236133
earlylog,cdrL,44.94441,5.992588
earlylog,cdrL,182.58423,24.344564
earlylog,cdrL,30.232433,4.030991067
earlylog,cdrL,304.5735,40.6098
earlylog,cdrL,17.20465,2.293953333
earlylog,cdrL,167.09279,22.27903867
earlylog,cdrL,55.326305,7.376840667
earlylog,cdrL,133.13527,17.75136933
earlylog,cdrL,58.898216,7.853095467
earlylog,cdrL,27.294687,3.6392916
earlylog,cdrL,28.635643,3.818085733
earlylog,cdrL,37.12142,4.949522667
earlylog,cdrL,38.27532,5.103376
earlylog,cdrL,80.65978,10.75463733
earlylog,cdrL,97.67292,13.023056
earlylog,cdrL,48.754486,6.500598133
earlylog,cdrL,63.25346,8.433794667
earlylog,cdrL,63.126858,8.4169144
earlylog,cdrL,100.43903,13.39187067
earlylog,cdrL,45,6
earlylog,cdrL,21.84033,2.912044
earlylog,cdrL,15.264338,2.035245067
earlylog,cdrL,27.658634,3.687817867
earlylog,cdrL,87.86353,11.71513733
earlylog,cdrL,50.447994,6.7263992
earlylog,cdrL,47.010635,6.268084667
earlylog,cdrL,59.07622,7.876829333
earlylog,cdrL,97.16481,12.955308
earlylog,cdrL,25.298222,3.373096267
earlylog,cdrL,21.954498,2.9272664
earlylog,cdrL,18.35756,2.447674667
earlylog,cdrL,40.81666,5.442221333
earlylog,cdrL,36.40055,4.853406667
earlylog,cdrL,53.851646,7.180219467
earlylog,cdrL,30.528675,4.07049
earlylog,cdrL,66.287254,8.838300533
earlylog,cdrL,17.20465,2.293953333
earlylog,cdrL,56.22277,7.496369333
earlylog,cdrL,132.84953,17.71327067
earlylog,cdrL,63.411354,8.4548472
earlylog,cdrL,217.80725,29.04096667
earlylog,cdrL,69.81404,9.308538667
earlylog,cdrL,66.70832,8.894442667
earlylog,cdrL,50.24938,6.699917333
earlylog,cdrL,64.381676,8.584223467
earlylog,cdrL,47.801674,6.373556533
earlylog,cdrL,19.646883,2.6195844
earlylog,cdrL,86.53323,11.537764
earlylog,cdrL,39.623226,5.2830968
earlylog,cdrL,22.472204,2.996293867
earlylog,cdrL,36.878178,4.9170904
earlylog,cdrL,25,3.333333333
earlylog,cdrL,33.54102,4.472136
earlylog,cdrL,323.4826,43.13101333
earlylog,cdrL,78.54935,10.47324667
earlylog,cdrL,18.439089,2.4585452
earlylog,cdrL,70.837845,9.445046
earlylog,cdrL,45.17743,6.023657333
earlylog,cdrL,149.93332,19.99110933
earlylog,cdrL,36.345562,4.846074933
earlylog,cdrL,50.990196,6.7986928
earlylog,cdrL,86.145226,11.48603013
earlylog,cdrL,18.681541,2.490872133
earlylog,cdrL,30.413813,4.055175067
earlylog,cdrL,24.5153,3.268706667
earlylog,cdrL,266.36255,35.51500667
earlylog,cdrL,33.600594,4.4800792
earlylog,cdrL,13.928389,1.857118533
earlylog,cdrL,67.11929,8.949238667
earlylog,cdrL,109.444046,14.59253947
earlylog,cdrL,74.323616,9.909815467
earlylog,cdrL,56.435802,7.5247736
earlylog,cdrL,80.529495,10.737266
earlylog,cdrL,104.307236,13.90763147
earlylog,cdrL,14.866069,1.982142533
earlylog,cdrL,27.45906,3.661208
earlylog,cdrL,231.56209,30.87494533
earlylog,cdrL,42.296574,5.6395432
earlylog,cdrL,126.90548,16.92073067
earlylog,cdrL,81.27115,10.83615333
earlylog,cdrL,19.235384,2.564717867
earlylog,cdrL,29.15476,3.887301333
earlylog,cdrL,141.0319,18.80425333
earlylog,cdrL,81.84131,10.91217467
earlylog,cdrL,141.53445,18.87126
earlylog,cdrL,217.49713,28.99961733
earlylog,cdrL,356.02948,47.47059733
earlylog,cdrL,49.0408,6.538773333
earlylog,cdrL,62.801273,8.373503067
earlylog,cdrL,63.505905,8.467454
earlylog,cdrL,41.773197,5.5697596
earlylog,cdrL,37.94733,5.059644
earlylog,cdrL,266.32687,35.51024933
earlylog,cdrL,27.658634,3.687817867
earlylog,cdrL,79.40403,10.587204
earlylog,cdrL,26.925823,3.590109733
earlylog,cdrL,30.265491,4.0353988
earlylog,cdrL,29.832869,3.977715867
earlylog,cdrL,57.72348,7.696464
earlylog,cdrL,137.20058,18.29341067
earlylog,cdrL,226.49062,30.19874933
earlylog,cdrL,45.39824,6.053098667
earlylog,cdrL,73.1642,9.755226667
earlylog,cdrL,19.924858,2.656647733
earlylog,cdrL,227.0022,30.26696
earlylog,cdrL,48.466484,6.462197867
earlylog,cdrL,112.48556,14.99807467
earlylog,cdrL,148.35431,19.78057467
earlylog,cdrL,124.53112,16.60414933
earlylog,cdrL,47.853943,6.380525733
earlylog,cdrL,48.104053,6.413873733
earlylog,cdrL,112.53888,15.005184
earlylog,cdrL,149.34523,19.91269733
earlylog,cdrL,20.615528,2.748737067
earlylog,ftsZ2,186.14243,24.81899067
earlylog,ftsZ2,79.05694,10.54092533
earlylog,ftsZ2,105.26158,14.03487733
