Growth_phase,Strain,Area_px,Area
earlylog,cdrL,952.875,16.94
earlylog,cdrL,558.625,9.931111111
earlylog,cdrL,239.25,4.253333333
earlylog,cdrL,184.5,3.28
earlylog,cdrL,165.5,2.942222222
earlylog,cdrL,837,14.88
earlylog,cdrL,717.75,12.76
earlylog,cdrL,1491.875,26.52222222
earlylog,cdrL,288.375,5.126666667
earlylog,cdrL,838.875,14.91333333
earlylog,cdrL,597.5,10.62222222
earlylog,cdrL,252.875,4.495555556
earlylog,cdrL,391.5,6.96
earlylog,cdrL,467.75,8.315555556
earlylog,cdrL,1874.25,33.32
earlylog,cdrL,921,16.37333333
earlylog,cdrL,252,4.48
earlylog,cdrL,572.875,10.18444444
earlylog,cdrL,364,6.471111111
earlylog,cdrL,2704.5,48.08
earlylog,cdrL,175.875,3.126666667
earlylog,cdrL,313.125,5.566666667
earlylog,cdrL,255.125,4.535555556
earlylog,cdrL,206.625,3.673333333
earlylog,cdrL,487.375,8.664444444
earlylog,cdrL,1105,19.64444444
earlylog,cdrL,474.5,8.435555556
earlylog,cdrL,503.5,8.951111111
earlylog,cdrL,1893.5,33.66222222
earlylog,cdrL,244.75,4.351111111
earlylog,cdrL,120.5,2.142222222
earlylog,cdrL,1082.5,19.24444444
earlylog,cdrL,2739,48.69333333
earlylog,cdrL,182.875,3.251111111
earlylog,cdrL,1753.25,31.16888889
earlylog,cdrL,1485.625,26.41111111
earlylog,cdrL,533.5,9.484444444
earlylog,cdrL,2210.5,39.29777778
earlylog,cdrL,625.625,11.12222222
earlylog,cdrL,165.5,2.942222222
earlylog,cdrL,707.125,12.57111111
earlylog,cdrL,179.875,3.197777778
earlylog,cdrL,302.875,5.384444444
earlylog,cdrL,344.375,6.122222222
earlylog,cdrL,181.875,3.233333333
earlylog,cdrL,161.875,2.877777778
earlylog,cdrL,421.75,7.497777778
earlylog,cdrL,379.25,6.742222222
earlylog,cdrL,335.5,5.964444444
earlylog,cdrL,253.125,4.5
earlylog,cdrL,239,4.248888889
earlylog,cdrL,237.25,4.217777778
earlylog,cdrL,201.375,3.58
earlylog,cdrL,1215,21.6
earlylog,cdrL,406.25,7.222222222
earlylog,cdrL,242.625,4.313333333
earlylog,cdrL,109.375,1.944444444
earlylog,cdrL,105.5,1.875555556
earlylog,cdrL,380.625,6.766666667
earlylog,cdrL,263.375,4.682222222
earlylog,cdrL,2159.125,38.38444444
earlylog,cdrL,231,4.106666667
earlylog,cdrL,469.375,8.344444444
earlylog,cdrL,211.875,3.766666667
earlylog,cdrL,509.875,9.064444444
earlylog,cdrL,350.5,6.231111111
earlylog,cdrL,348.625,6.197777778
earlylog,cdrL,663.875,11.80222222
earlylog,cdrL,448.625,7.975555556
earlylog,cdrL,416.75,7.408888889
earlylog,cdrL,462,8.213333333
earlylog,cdrL,459.875,8.175555556
earlylog,cdrL,264.875,4.708888889
earlylog,cdrL,330.75,5.88
earlylog,cdrL,279.875,4.975555556
earlylog,cdrL,121.375,2.157777778
earlylog,cdrL,320.5,5.697777778
earlylog,cdrL,131.25,2.333333333
earlylog,cdrL,427.75,7.604444444
earlylog,cdrL,657.625,11.69111111
earlylog,cdrL,367.5,6.533333333
earlylog,cdrL,427.625,7.602222222
earlylog,cdrL,567.375,10.08666667
earlylog,cdrL,789.375,14.03333333
earlylog,cdrL,334,5.937777778
earlylog,cdrL,322.5,5.733333333
earlylog,cdrL,557.625,9.913333333
earlylog,cdrL,107.125,1.904444444
earlylog,cdrL,1970.5,35.03111111
earlylog,cdrL,487.75,8.671111111
earlylog,cdrL,123.125,2.188888889
earlylog,cdrL,256.125,4.553333333
earlylog,cdrL,347.75,6.182222222
earlylog,cdrL,269.875,4.797777778
earlylog,cdrL,471.125,8.375555556
earlylog,cdrL,411.875,7.322222222
earlylog,cdrL,109.5,1.946666667
earlylog,cdrL,460.5,8.186666667
earlylog,cdrL,2163.375,38.46
earlylog,cdrL,481.25,8.555555556
earlylog,cdrL,537.375,9.553333333
earlylog,cdrL,211.625,3.762222222
earlylog,cdrL,493.625,8.775555556
earlylog,cdrL,103.375,1.837777778
earlylog,cdrL,267.875,4.762222222
earlylog,cdrL,507.375,9.02
earlylog,cdrL,301.625,5.362222222
