Experiment,Threshold,Strain,Replicate,Area_px,Circularity,Length_px,Area_micron,Length_micron
20170601,-5,EV,B,243.53125,0.9494999,21.143383,4.329444444,2.819117733
20170601,-5,EV,B,305.75,0.9662569,21.030075,5.435555556,2.80401
20170601,-5,EV,B,122.62109,0.9912748,13.206909,2.179930489,1.7609212
20170601,-5,EV,B,83.90625,0.98876923,11.002847,1.491666667,1.467046267
20170601,-5,EV,B,116.90625,0.99195504,12.672507,2.078333333,1.6896676
20170601,-5,EV,B,120.15625,0.97953856,13.360818,2.136111111,1.7814424
20170601,-5,EV,B,149.57031,0.9590875,15.998547,2.659027733,2.1331396
20170601,-5,EV,B,105.28125,0.9702724,13.011265,1.871666667,1.734835333
20170601,-5,EV,B,351.37695,0.91054523,25.363382,6.246701333,3.381784267
20170601,-5,EV,B,348.7832,0.82907325,28.844423,6.200590222,3.845923067
20170601,-5,EV,B,238.15515,0.97806495,19.119637,4.233869333,2.549284933
20170601,-5,EV,B,200.3164,0.9596777,18.776793,3.561180444,2.5035724
20170601,-5,EV,B,239.55469,0.9763962,19.644617,4.258750044,2.619282267
20170601,-5,EV,B,272.14844,0.9357965,22.434586,4.838194489,2.991278133
20170601,-5,EV,B,194.63281,0.9874584,16.853554,3.460138844,2.247140533
20170601,-5,EV,B,192.75098,0.9473515,18.52963,3.426684089,2.470617333
20170601,-5,EV,B,338.26562,0.9763798,22.679012,6.013611022,3.023868267
20170601,-5,EV,B,413.45312,0.960696,26.464096,7.350277689,3.528546133
20170601,-5,EV,B,183.54688,0.9952674,15.544577,3.263055644,2.072610267
20170601,-5,EV,B,245.53906,0.9849925,18.663715,4.365138844,2.488495333
20170601,-5,EV,B,195.96875,0.9697869,18.046398,3.483888889,2.4061864
20170601,-5,EV,B,150.53125,0.9864076,14.720592,2.676111111,1.9627456
20170601,-5,EV,B,196.54688,0.9863162,16.655891,3.494166756,2.220785467
20170601,-5,EV,B,490.21875,0.94873583,28.36962,8.715,3.782616
20170601,-5,EV,B,403.59375,0.96788675,24.285572,7.175,3.238076267
20170601,-5,EV,B,289.53125,0.97923076,20.234253,5.147222222,2.6979004
20170601,-5,EV,B,138.14062,0.9853221,14.3151865,2.455833244,1.908691533
20170601,-5,EV,B,138.32812,0.98749083,14.219248,2.459166578,1.895899733
20170601,-5,EV,B,125.40625,0.9888034,13.626172,2.229444444,1.816822933
20170601,-5,EV,B,84.953125,0.9733064,11.580512,1.510277778,1.544068267
20170601,-5,EV,B,93.8125,0.9937058,11.466033,1.667777778,1.5288044
20170601,-5,EV,B,117.22656,0.9650852,14.173247,2.084027733,1.889766267
20170601,-5,EV,B,141.90625,0.9560661,15.759259,2.522777778,2.101234533
20170601,-5,EV,B,276.11963,0.95870787,21.60704,4.908793422,2.880938667
20170601,-5,EV,B,257.91797,0.9039691,22.76482,4.585208356,3.035309333
20170601,-5,EV,B,212.17188,0.9609014,18.357525,3.771944533,2.44767
20170601,-5,EV,B,167.29297,0.9621995,16.582167,2.974097244,2.2109556
20170601,-5,EV,B,316.79883,0.83951735,27.452589,5.6319792,3.6603452
20170601,-5,EV,B,215.33594,0.9448958,19.899496,3.828194489,2.653266133
20170601,-5,EV,B,233.58594,0.98604727,18.467234,4.152638933,2.462297867
20170601,-5,EV,B,213.28906,0.97245115,18.442232,3.791805511,2.458964267
20170601,-5,EV,B,311.73047,0.98543066,21.632198,5.541875022,2.884293067
20170601,-5,EV,B,398.625,0.9148097,28.510492,7.086666667,3.801398933
20170601,-5,EV,B,226.53125,0.9891063,18.003319,4.027222222,2.400442533
20170601,-5,EV,B,214.57812,0.91907144,20.77977,3.814722133,2.770636
20170601,-5,EV,B,182.2207,0.98405796,16.584064,3.239479111,2.211208533
20170601,-5,EV,B,310.14258,0.9273902,24.249725,5.513645867,3.233296667
20170601,-5,EV,B,213.82812,0.94302636,20.00008,3.8013888,2.666677333
20170601,-5,EV,B,187.60156,0.94745034,18.41624,3.335138844,2.455498667
20170601,-5,EV,B,237.125,0.9774577,19.484737,4.215555556,2.597964933
20170601,-5,EV,B,206.28125,0.9821639,18.067806,3.667222222,2.4090408
20170601,-5,EV,B,444.125,0.96977353,26.411377,7.895555556,3.521516933
20170601,-5,EV,B,136.9375,0.9944444,13.636165,2.434444444,1.818155333
20170601,-5,EV,B,214.95459,0.7481633,25.62516,3.821414933,3.416688
20170601,-5,EV,B,134.18652,0.99267,13.650015,2.385538133,1.820002
20170601,-5,EV,B,105.015625,0.95258707,13.501099,1.866944444,1.800146533
20170601,-5,EV,B,159.95312,0.96333736,16.648712,2.843611022,2.219828267
