Strain,Label,Area_px,Area_micron,Length_px,Length_micron
ura3,ura3B,932.15234,2.33038085,42.520584,2.1260292
ura3,ura3B,577.8828,1.444707,49.979996,2.4989998
ura3,ura3B,5663.742,14.159355,303.84207,15.1921035
ura3,ura3B,2608.6602,6.5216505,150.84097,7.5420485
ura3,ura3B,2375.8662,5.9396655,144.00694,7.200347
ura3,ura3B,1593.0703,3.98267575,83.60024,4.180012
ura3,ura3B,1953.4375,4.88359375,79.70571,3.9852855
ura3,ura3B,2706.2031,6.76550775,152.2695,7.613475
ura3,ura3B,1570.4844,3.926211,69.065186,3.4532593
ura3,ura3B,451.84375,1.129609375,31.400637,1.57003185
ura3,ura3B,1400.8438,3.5021095,63.387695,3.16938475
ura3,ura3B,2019.4414,5.0486035,105.47511,5.2737555
ura3,ura3B,6215.8906,15.5397265,312.62277,15.6311385
ura3,ura3B,1526.9062,3.8172655,73.97973,3.6989865
ura3,ura3B,807.625,2.0190625,51.662365,2.58311825
ura3,ura3B,1858.3652,4.645913,68.76772,3.438386
ura3,ura3B,3793.7168,9.484292,200.41208,10.020604
ura3,ura3B,2589.3281,6.47332025,127.78106,6.389053
ura3,ura3B,2290.4844,5.726211,118.5327,5.926635
ura3,ura3B,5207.9453,13.01986325,315.80057,15.7900285
ura3,ura3B,2134.1875,5.33546875,96.04687,4.8023435
ura3,ura3B,6029.1797,15.07294925,310.8456,15.54228
ura3,ura3B,589.1094,1.4727735,34.48188,1.724094
ura3,ura3B,2406.5234,6.0163085,61.09828,3.054914
ura3,ura3B,2822.625,7.0565625,118.473625,5.92368125
ura3,ura3B,1421.4219,3.55355475,77.87811,3.8939055
ura3,ura3B,1463.5,3.65875,65.192024,3.2596012
ura3,ura3B,2791.0156,6.977539,150.96027,7.5480135
ura3,ura3B,399.96875,0.999921875,34.828148,1.7414074
ura3,ura3B,1051.6328,2.629082,64.513565,3.22567825
ura3,ura3B,2594.4062,6.4860155,125.13193,6.2565965
ura3,ura3B,1333.3516,3.333379,79.12016,3.956008
ura3,ura3B,336.1875,0.84046875,25.70992,1.285496
