Probe Name,Sample,Condition,Category,Strain,Replicate,Run,VNG0194H,VNG0195H,VNG1065C,csg,dpsA,ftsZ1,ftsZ2,ftsZ3,ftsZ4,ftsZ5,hpyA,mc1,minD1,minD2,sojA,sojB,sojC1,sojC2,sojD,sojE,coxA2,eif1a2,mrp
20190208_Darnell7_CD61_06.RCC,CD61,OD2.0,4,cdrS,A,Run07,16.97,4084.39,739.9,252946.98,241834.02,8115.35,123911.02,508.06,6744.23,2891.68,3371.66,21385.55,1867.41,403.01,12477.77,18735.67,463.68,20.83,824.12,1132.94,18305.5,29588.74,3568.18
20190208_Darnell7_CD63_08.RCC,CD63,OD2.0,4,cdrS,C,Run07,14.8,3899.34,893.84,221703.94,168560.38,6689.17,116411.16,465.46,5399.15,2524.42,2847.41,15418.77,1581.79,339.58,10647.06,15527.08,242,29.27,639.16,834.32,15558.31,28817.61,3089.41
20190207_Darnell6_CD64_07.RCC,CD64,OD2.0,4,cdrS,D,Run06,13.51,2691.07,1470.7,193406.78,93962.18,3510.34,75081.27,257.44,4160.36,2031.82,2760.77,4808.94,1314.96,479.33,11633.35,12136.86,340.65,29.87,506.35,571.78,11481.16,23733.94,1758.73
20190207_Darnell6_CD57_05.RCC,CD57,OD2.0,4,ura3,A,Run06,148570.38,4183.43,761.12,196279.05,248406.83,7995.46,183726.02,653.83,6574.09,3466.32,2834.5,28239.51,1907.39,313.62,17376.54,29754.42,374.14,22.93,647.41,579.55,16147.74,32607.26,3613.04
20190207_Darnell6_CD58_11.RCC,CD58,OD2.0,4,ura3,B,Run06,110122.76,3965.68,769.93,269196.81,112154.95,7320.84,143525.8,427.26,6752.61,2225.21,3985.2,6350.3,2018.08,438.1,27005.02,10762.75,260.26,30.36,566.06,494.49,19946.61,26095.21,1669.99
20190205_Darnell4_CD66_05.RCC,CD66,OD2.0,4,ura3,C,Run04,118595.83,4370.3,1108.04,222024.45,163143.98,5648.4,140287.55,391.68,5689.63,3226.19,2638.67,17924.4,1778.01,226.76,14961.05,17522.41,283.45,2.86,350.45,474.14,12884.13,28071.94,3308.64
20190130_aschmid-20190116-2_CD-68_09.RCC,CD68,OD2.0,4,ura3,D,Run02,130381.28,3725.03,759.09,163268.7,255807.47,7347.74,162927.61,672,5854.25,3487.73,2949.26,34203.11,1696.69,297.54,20219.54,29562.97,279.4,29.75,776.5,519.6,14440.77,36559.47,3423.87
20190208_Darnell7_CD43_12.RCC,CD43,release,6,cdrL,A,Run07,213515.44,47.8,456.47,951361.5,248047.02,9052.92,248156.95,1539.09,4251.62,11777.39,5797.88,44994.52,1362.24,437.35,70497.07,24479.68,951.18,78.87,1849.78,1135.2,25213.37,34820.74,6758.62
20190129_aschmid-cdarell-20190126_CD-38_06.RCC,CD38,release,6,cdrL,B,Run01,233753.97,79.44,490.18,851180.25,270244.03,9206.79,257946.98,1530.59,3688.91,11155.87,5465.56,53427.27,1110.16,416.55,80944.95,20850.89,1050.1,73.62,1983.95,1135.35,24365.44,33554.79,6250.23
20190212_Darnell8_CD39_02.RCC,CD39,release,6,cdrS,A,Run08,17.06,3936.36,491.3,766923,313396.59,7132.06,172735.41,923.23,4058.08,9723.65,5356.84,59633.23,1300.25,526.93,15341.72,22271.92,1095.41,86.09,1481.33,1966.7,23014.07,35443.6,6229.61
20190212_Darnell8_CD41_04.RCC,CD41,release,6,cdrS,C,Run08,34.26,3896,485.33,946113.31,311628.66,6067.64,140354.98,978.28,3536.28,10429.94,6368.35,55470.9,1240.93,591.92,16086.47,26813.31,1195.26,98.97,1827.14,1602.56,21223.4,38906.71,6130.44
20190207_Darnell6_CD42_02.RCC,CD42,release,6,cdrS,D,Run06,31.58,3974.2,470.53,854359.25,301407.97,5531.04,127316.65,958.42,3348.94,10375.25,6203.67,54325.18,1151.05,568.42,15996.29,26867.33,1078.42,69.47,1826.84,1305.79,21918.91,38857.84,5924.2
20190207_Darnell6_CD35_09.RCC,CD35,release,6,ura3,A,Run06,179829.58,3188.41,513.54,660711.69,215648.67,7000.03,189266.41,1039.53,3335.49,9693.6,5566.62,42759.29,1012.11,406.34,51843.38,21385.25,855.06,47.36,2027.97,749.11,25764.01,30289.85,4838.7
20190205_Darnell4_CD36_01.RCC,CD36,release,6,ura3,B,Run04,189663.34,4433.47,505.4,760324.75,210154.38,8871.94,196994.08,1005.79,4608.6,7425.81,5719.47,56609.28,1816.42,380.3,58755.95,19175,485.38,60.05,1190.93,515.4,33666.33,23553.42,4903.84
20190206_Darnell5_CD44_08.RCC,CD44,release,6,ura3,C,Run05,209137.41,4279.01,555.13,1091817,349117.5,6544.55,218811.7,1218.29,3474.82,10700.53,5824.38,62051.66,1416.33,543.13,42325,23582.57,1017.24,102.02,1689.4,858.2,17971.25,40170.49,6046.43
